"Package","Version","LibPath","Built"
"png","0.1-8","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"prettyunits","1.2.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"processx","3.8.6","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"progress","1.2.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"ps","1.9.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"purrr","1.2.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"quadprog","1.5-8","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"qvalue","2.40.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"R.cache","0.17.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"R.methodsS3","1.8.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"R.oo","1.27.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"R.utils","2.13.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"R6","2.6.1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"rappdirs","0.3.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"RColorBrewer","1.1-3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"Rcpp","1.1.0","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"RcppArmadillo","15.0.2-2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"RcppEigen","0.3.4.0.2","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"RcppParallel","5.1.11-1","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"RcppTOML","0.2.3","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
"RCurl","1.98-1.17","/Library/Frameworks/R.framework/Versions/4.5-arm64/Resources/library","4.5.0"
